Республика Калмыкия,Сумма,Городовиковская,Ики-Бурульская,Лаганская,Кетченеровская,Малодербетовская,Октябрьская,Приютненская,Сарпинская,Целинная,Черноземельская,Элистинская,Юстинская,Яшалтинская,Яшкульская
"избирателей, включенных в список избирателей",201912,12419,7285,13156,7006,7465,5718,7820,8822,13404,8202,83146,6801,10899,9769
"изб.бюллетеней, полученных участковой избирательной комиссией",200119,12475,7780,13730,7509,7751,5965,8045,9091,14785,8237,75840,7292,11232,10387
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",132523,7880,6005,11204,5370,3728,4224,4932,4432,9124,7200,48812,5684,6627,7301
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",8099,413,247,399,747,401,342,575,573,615,273,1882,268,483,881
"изб.бюллетеней, погашенных",59497,4182,1528,2127,1392,3622,1399,2538,4086,5046,764,25146,1340,4122,2205
"изб.бюллетеней, в переносных ящиках для голосования",8099,413,247,399,747,401,342,575,573,615,273,1882,268,483,881
"изб.бюллетеней, в стационарных ящиках для голосования",132520,7880,6005,11204,5370,3728,4224,4932,4431,9124,7200,48810,5684,6627,7301
"изб.бюллетеней, недействительных",1790,92,27,28,9,566,37,31,45,119,14,660,30,105,27
"изб.бюллетеней, действительных",138829,8201,6225,11575,6108,3563,4529,5476,4959,9620,7459,50032,5922,7005,8155
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,502,31,9,15,7,23,14,21,20,37,30,226,19,41,9
Грудинин,16399,1062,387,318,459,831,340,884,647,1294,127,7502,499,984,1065
Жириновский,2734,234,48,68,26,111,67,107,177,226,46,1147,45,392,40
Путин,114833,6741,5684,11093,5577,2447,4020,4389,4012,7714,7153,38362,5246,5445,6950
Собчак,2117,55,56,32,17,92,51,35,31,168,51,1371,63,54,41
Сурайкин,675,32,18,29,8,18,24,16,43,74,23,302,22,44,22
Титов,632,20,13,13,7,24,4,8,20,43,16,408,17,28,11
Явлинский,937,26,10,7,7,17,9,16,9,64,13,714,11,17,17
