Республика Адыгея (Адыгея),Сумма,Адыгейская,Гиагинская,Кошехабльская,Красногвардейская,Майкопская,Майкопская городская,Тахтамукайская,Теучежская,Шовгеновская
"избирателей, включенных в список избирателей",336720,11624,23049,21964,21655,45501,130464,57109,13560,11794
"изб.бюллетеней, полученных участковой избирательной комиссией",328666,11350,22395,21782,21025,45700,128736,52555,13322,11801
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",235040,10833,18950,19851,17689,26732,75285,43177,11787,10736
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",15183,399,1757,1590,1249,1957,5188,1655,601,787
"изб.бюллетеней, погашенных",78443,118,1688,341,2087,17011,48263,7723,934,278
"изб.бюллетеней, в переносных ящиках для голосования",15182,399,1757,1590,1249,1957,5187,1655,601,787
"изб.бюллетеней, в стационарных ящиках для голосования",235021,10833,18950,19851,17689,26728,75272,43175,11787,10736
"изб.бюллетеней, недействительных",2647,57,279,91,164,432,954,545,52,73
"изб.бюллетеней, действительных",247556,11175,20428,21350,18774,28253,79505,44285,12336,11450
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0
Бабурин,1165,24,201,46,89,152,474,145,14,20
Грудинин,28711,655,2093,599,1683,3968,12554,5017,920,1222
Жириновский,8923,149,919,218,664,1612,3864,1224,128,145
Путин,203095,10229,16789,20307,16078,21842,59833,36866,11190,9961
Собчак,2060,62,134,62,93,239,955,430,38,47
Сурайкин,1317,16,122,44,80,218,564,218,22,33
Титов,1088,15,87,30,43,129,559,200,13,12
Явлинский,1197,25,83,44,44,93,702,185,11,10
