Карачаево-Черкесская Республика,Сумма,Адыге-Хабльская,Зеленчукская,Карачаевская,Карачаевская городская,Малокарачаевская,Прикубанская,Урупская,Усть-Джегутинская,Хабезская,Черкесская городская,Абазинская,Ногайская
"избирателей, включенных в список избирателей",292031,9039,35218,18473,19121,26274,20127,11779,32859,18643,80713,10024,9761
"изб.бюллетеней, полученных участковой избирательной комиссией",288361,9000,36279,18292,17999,24438,20200,12350,32963,17660,79030,10500,9650
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",241477,7603,23117,16752,16819,20177,18164,10388,29883,15173,65728,8854,8819
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",13774,466,1203,754,391,2260,1192,372,691,690,4971,489,295
"изб.бюллетеней, погашенных",33110,931,11959,786,789,2001,844,1590,2389,1797,8331,1157,536
"изб.бюллетеней, в переносных ящиках для голосования",13771,466,1203,754,388,2260,1192,372,691,690,4971,489,295
"изб.бюллетеней, в стационарных ящиках для голосования",241300,7603,23087,16752,16819,20177,18164,10387,29883,15173,65593,8854,8808
"изб.бюллетеней, недействительных",1101,28,144,93,77,47,18,69,177,9,365,3,71
"изб.бюллетеней, действительных",253970,8041,24146,17413,17130,22390,19338,10690,30397,15854,70199,9340,9032
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,676,14,51,24,49,151,21,30,47,28,228,17,16
Грудинин,17819,454,2676,1055,921,1159,1189,703,1602,740,5520,845,955
Жириновский,7075,148,1101,631,525,1072,845,303,204,55,1736,344,111
Путин,223534,7321,19933,15621,15317,19665,17035,9126,28090,14441,61093,8018,7874
Собчак,1132,22,160,22,110,37,30,31,140,50,503,13,14
Сурайкин,2533,57,117,47,149,237,185,437,114,462,643,37,48
Титов,454,10,52,8,26,42,17,30,40,24,192,8,5
Явлинский,747,15,56,5,33,27,16,30,160,54,284,58,9
